Source,Post ID,Date,Year,Month,Weekday,Link,Subject or Title,Preview Text,Sending Time 24h (CET),Subject Line Length,Preview Text Lenght,Ratio,Internal/External PDF,Advertiser,Advertiser Source,Ad Total Clicks,Ad Unique Clicks,Ad CTR,Sent,Delivered,Total Opens,Unique Opens,Open Rate,Unique Clicks,Click-Through Rate,Verified Unique Clicks,Verified Click-Through Rate,Unsubscribed,Unsubscribe Rate,Spam Reported,Spam Reported Rate,Web Views,Web Clicks Unique,Web Click Rate,Content Tags, , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13
Beehiiv,ced50b88-158a-4ee7-a6bd-e83c42ec0b50,2024-05-13,2024,5,1 - Monday,https://app.beehiiv.com/posts/ced50b88-158a-4ee7-a6bd-e83c42ec0b50,✨Will AI Websites Be The Next Big Thing?,"Episode #8 - Mohamed Ghaith, CEO of Stunning.so",20:00,40,47,0.8510638298,,Stunning,Direct,2034.0,268.0,0.041,26232,24495,10705,6535,0.2668,355,0.0543,352,0.0539,58,0.0024,1,4e-05,96,11,0.1146,🎙️ Exclusive Interviews,,,,,,,,,,,,,,
Beehiiv,00d2b2b0-8dad-46a5-96de-785cb137cdf7,2024-05-23,2024,5,4 - Thursday,https://app.beehiiv.com/posts/00d2b2b0-8dad-46a5-96de-785cb137cdf7,🔥 the hottest AI tutorials of the week,"🟣 Viral Thursday: 8 AI tools; 1 FREE AI Extension, 5 Epic Email Marketing Prompts",15:00,39,82,0.4756097561,,Bluedot HQ,Direct,734.0,203.0,0.0442,15144,14912,7547,4593,0.308,321,0.0699,321,0.0699,24,0.0016,0,0.0,0,0,,,,,,,,,,,,,,,,
Beehiiv,123f883e-175e-428f-a684-b2cf2552f87b,2024-05-31,2024,5,5 - Friday,https://app.beehiiv.com/posts/123f883e-175e-428f-a684-b2cf2552f87b,🔥 the hottest AI tutorials of the week,🟣 Viral Friday: Master Microsoft Copilot / Make Decisions With ChatGPT / The META AI Ads Guide,15:00,39,95,0.4105263158,,Bluedot HQ,Direct,803.0,209.0,0.0408,16200,15988,8295,5122,0.3204,336,0.0656,335,0.0654,31,0.0019,1,6e-05,0,0,,,,,,,,,,,,,,,,
Beehiiv,8fc99da6-4a2e-497a-8bcc-0d8274568840,2024-07-25,2024,7,4 - Thursday,https://app.beehiiv.com/posts/8fc99da6-4a2e-497a-8bcc-0d8274568840,🔥 The hottest AI tutorials of the week (+ Free AI Masterclass 📺),🟣 Viral Thursday: Learn How to Make $20K/ Month with AI + How to Master Prompt Engineering + 10 ChatGPT Prompt Frameworks + Create how-to Guides with AI,15:00,66,153,0.431372549,,Growthschool / Outskill,Direct,789.0,273.0,0.0399,25053,24629,10281,6839,0.2777,368,0.0538,324,0.0474,47,0.0019,0,0.0,0,0,,,,,,,,,,,,,,,,
Beehiiv,b620bacd-a200-4515-a6f4-d0721b4d7cf3,2024-08-05,2024,8,1 - Monday,https://app.beehiiv.com/posts/b620bacd-a200-4515-a6f4-d0721b4d7cf3,🥇 The Prompt Olympics (+ 1 Free AI Masterclass 🎫),🧳 7 Best GPTs for Education 🔮 50 Chatgpt Prompts For Sales 🔥 The Hottest Prompts of The Week,15:00,51,95,0.5368421053,,Growthschool / Outskill,Direct,1289.0,359.0,0.0411,31073,30357,13134,8734,0.2877,462,0.0529,425,0.0487,80,0.0026,3,0.0001,102,39,0.3824,,,,,,,,,,,,,,,
Beehiiv,12e0e748-02c4-4c9d-a15b-e64a6237d5a4,2024-08-12,2024,8,1 - Monday,https://app.beehiiv.com/posts/12e0e748-02c4-4c9d-a15b-e64a6237d5a4,🔴 Exclusive: Will CAIOs Be The Next Big Thing?,"🎙️ Episode #9 - Read our Exclusive Interview with Chris Daigle, CEO & Founder of ChiefAIOfficer.com",15:00,47,100,0.47,,ChiefAiOfficer,Direct,1807.0,306.0,0.0285,25575,25035,17191,10728,0.4285,418,0.039,382,0.0356,90,0.0036,2,8e-05,83,19,0.2289,🎙️ Exclusive Interviews,,,,,,,,,,,,,,
Beehiiv,4229d0c6-a0fc-426d-a758-36c9d2fe2da0,2024-08-16,2024,8,5 - Friday,https://app.beehiiv.com/posts/4229d0c6-a0fc-426d-a758-36c9d2fe2da0,🤯 The 2024 AI Prompt Engineering Guides (Updated),🟣 Viral Thursday: Make Short Videos Using AI + The DALL-E 3 Full Guide + 5 AI Chrome Extensions,15:00,50,96,0.5208333333,,Growthschool / Outskill,Direct,945.0,310.0,0.0392,24865,24336,12203,7914,0.3252,438,0.0553,408,0.0516,39,0.0016,2,8e-05,0,0,,,,,,,,,,,,,,,,
Beehiiv,3984822e-eba4-4433-b353-97358488527f,2024-08-22,2024,8,4 - Thursday,https://app.beehiiv.com/posts/3984822e-eba4-4433-b353-97358488527f,🔥 The hottest AI tutorials of the week (August 22nd) + Free Tickets to the AI Mastery Workshop,🟣 Viral Thursday: Make Short Videos Using AI + The DALL-E 3 Full Guide + 5 AI Chrome Extensions,15:00,95,96,0.9895833333,,Growthschool / Outskill,Direct,368.0,175.0,0.0221,24185,23659,12332,7935,0.3354,315,0.0397,306,0.0386,43,0.0018,0,0.0,0,0,,,,,,,,,,,,,,,,
Beehiiv,da47b073-4030-4005-b8da-a988e79750ce,2024-08-25,2024,8,7 - Sunday,https://app.beehiiv.com/posts/da47b073-4030-4005-b8da-a988e79750ce,🤖 How To Use ChatGPT To Write Linkedin Posts,🧠 Special issue: Steal these magic prompts to up your Linkedin game 💰 Plus: Discover this week's winners,15:00,45,106,0.4245283019,,Growthschool / Outskill,Direct,1074.0,302.0,0.0359,24014,23542,13398,8419,0.3576,521,0.0619,466,0.0554,35,0.0015,0,0.0,0,0,,,,,,,,,,,,,,,,
Beehiiv,7e7e8ead-7e36-4c3d-aa68-db0b9a71a608,2024-08-28,2024,8,3 - Wednesday,https://app.beehiiv.com/posts/7e7e8ead-7e36-4c3d-aa68-db0b9a71a608,🔥 The hottest AI tutorials of the week (August 28th),🟣 Viral Wednesday: The Hidden ChatGPT Feature + 12 Best AI CheatSheets + How to Use ChatGPT for Linkedin Outreach,15:00,53,114,0.4649122807,,Growthschool / Outskill,Direct,321.0,76.0,0.0097,24117,23596,12419,7856,0.3329,196,0.0249,165,0.021,41,0.0017,0,0.0,0,0,,,,,,,,,,,,,,,,
